#timestamp package-00 dram0 user nice system idle iowait irq softirq steal guest guest_nice 
1763548835.138219039 29174 8063 0 0 0 2 0 0 0 0 0 0 
1763548835.150199761 385436 66005 0 0 0 43 0 0 0 0 0 0 
1763548835.200076570 838377 56105 0 0 0 179 0 0 0 0 0 0 
1763548835.250152346 711302 50673 0 0 0 180 0 0 0 0 0 0 
1763548835.300149633 695799 52877 0 0 0 180 0 0 0 0 0 0 
1763548835.350158425 606078 49618 0 0 0 179 0 0 0 0 0 0 
1763548835.400138993 604063 27953 0 0 0 180 0 0 0 0 0 0 
1763548835.450139316 486876 33966 0 0 0 180 0 0 0 0 0 0 
1763548835.500146387 806333 64535 0 0 0 180 0 0 0 0 0 0 
1763548835.550157633 614501 66280 0 0 0 180 0 0 0 0 0 0 
1763548835.600146313 694212 51500 0 0 0 179 0 0 0 0 0 0 
1763548835.650153056 512816 47889 0 0 0 180 0 0 0 0 0 0 
1763548835.700138278 750425 27356 0 0 0 180 0 0 0 0 0 0 
1763548835.750163004 745543 41723 0 0 0 180 0 0 0 0 0 0 
1763548835.800165420 764036 14964 0 0 0 180 0 0 0 0 0 0 
1763548835.850168090 468138 27448 0 0 0 180 0 0 0 0 0 0 
1763548835.900161395 685790 61506 0 0 0 179 0 0 0 0 0 0 
1763548835.950153294 622374 40315 0 0 0 180 0 0 0 0 0 0 
1763548836.000156916 738035 41877 0 0 0 180 0 0 0 0 0 0 
1763548836.050138410 518858 24786 0 0 0 180 0 0 0 0 0 0 
1763548836.100124205 504149 37867 0 0 0 179 0 0 0 0 0 0 
1763548836.150127391 507506 41953 0 0 0 180 0 0 0 0 0 0 
1763548836.200163790 551818 30294 0 0 0 180 0 0 0 0 0 0 
1763548836.250131180 832029 52968 0 0 0 180 0 0 0 0 0 0 
1763548836.300146790 674132 45717 0 0 0 180 0 0 0 0 0 0 
1763548836.350152346 593687 32130 0 0 0 180 0 0 0 0 0 0 
1763548836.400144963 971250 38418 0 0 0 179 0 0 0 0 0 0 
1763548836.450144217 569701 36995 0 0 0 180 0 0 0 0 0 0 
1763548836.500141369 786497 41035 0 0 0 180 0 0 0 0 0 0 
1763548836.550147311 656004 47216 0 0 0 180 0 0 0 0 0 0 
1763548836.600154925 445861 55493 0 0 0 180 0 0 0 0 0 0 
1763548836.650073858 889585 79483 0 0 0 179 0 0 0 0 0 0 
1763548836.700149629 867917 87623 0 0 0 180 0 0 0 0 0 0 
1763548836.750167960 391906 24786 0 0 0 180 0 0 0 0 0 0 
1763548836.800149519 869261 39383 0 0 0 180 0 0 0 0 0 0 
1763548836.850160218 661375 85129 0 0 0 180 0 0 0 0 0 0 
1763548836.900158939 607054 39336 0 0 0 179 0 0 0 0 0 0 
1763548836.950140539 793821 64306 0 0 0 180 0 0 0 0 0 0 
1763548837.000146794 681212 35710 0 0 0 180 0 0 0 0 0 0 
1763548837.050138151 841489 28275 0 0 0 180 0 0 0 0 0 0 
1763548837.100128445 591491 28932 0 0 0 180 0 0 0 0 0 0 
1763548837.150160187 437254 42595 0 0 0 179 0 0 0 0 0 0 
1763548837.200147474 966856 78443 0 0 0 180 0 0 0 0 0 0 
1763548837.250137963 790586 55723 0 0 0 180 0 0 0 0 0 0 
1763548837.300136417 631041 57375 0 0 0 180 0 0 0 0 0 0 
1763548837.350169909 761045 37087 0 0 0 180 0 0 0 0 0 0 
1763548837.400148061 394042 24740 0 0 0 180 0 0 0 0 0 0 
1763548837.450146181 1111204 37914 0 0 0 179 0 0 0 0 0 0 
1763548837.500156014 770078 33843 0 0 0 180 0 0 0 0 0 0 
1763548837.550166848 486693 34701 0 0 0 180 0 0 0 0 0 0 
1763548837.600066479 1533749 272997 1 0 4 175 0 0 0 0 0 0 
1763548837.650151562 973386 124252 0 0 0 180 0 0 0 0 0 0 
1763548837.700147819 895017 61414 0 0 0 180 0 0 0 0 0 0 
1763548837.750159723 651976 49388 0 0 0 179 0 0 0 0 0 0 
1763548837.800127791 747374 32635 0 0 0 180 0 0 0 0 0 0 
1763548837.850162857 886228 135727 0 0 0 180 0 0 0 0 0 0 
1763548837.900075604 640562 48699 0 0 0 179 0 0 0 0 0 0 
1763548837.950163008 817930 80892 0 0 0 181 0 0 0 0 0 0 
1763548838.000137939 882505 71833 0 0 0 179 0 0 0 0 0 0 
1763548838.050139576 796751 50674 0 0 0 180 0 0 0 0 0 0 
1763548838.100125806 795225 63739 0 0 0 180 0 0 0 0 0 0 
1763548838.150150216 522399 49083 0 0 0 180 0 0 0 0 0 0 
1763548838.200150028 597960 57528 0 0 0 179 0 0 0 0 0 0 
1763548838.250164014 478270 43391 0 0 0 180 0 0 0 0 0 0 
1763548838.300166826 527769 28366 0 0 0 180 0 0 0 0 0 0 
1763548838.350164187 488525 27219 0 0 0 180 0 0 0 0 0 0 
1763548838.400142001 467100 16432 0 0 0 180 0 0 0 0 0 0 
1763548838.450163343 602294 60817 0 0 0 180 0 0 0 0 0 0 
1763548838.500159132 644713 38327 0 0 0 179 0 0 0 0 0 0 
1763548838.550152295 943967 77387 0 0 0 180 0 0 0 0 0 0 
1763548838.600139973 680235 34930 0 0 0 180 0 0 0 0 0 0 
1763548838.650143493 495970 38556 0 0 0 180 0 0 0 0 0 0 
1763548838.700126537 608397 89780 0 0 0 179 0 0 0 0 0 0 
1763548838.750159363 403808 57222 0 0 0 180 0 0 0 0 0 0 
1763548838.800171162 815977 95931 0 0 0 180 0 0 0 0 0 0 
1763548838.850157679 844785 52189 0 0 0 180 0 0 0 0 0 0 
1763548838.900161276 549376 27677 0 0 0 180 0 0 0 0 0 0 
1763548838.950145203 575499 31488 0 0 0 179 0 0 0 0 0 0 
1763548839.000160067 638793 41998 0 0 0 180 0 0 0 0 0 0 
1763548839.050128114 798826 49343 0 0 0 180 0 0 0 0 0 0 
1763548839.100147576 715940 48792 0 0 0 180 0 0 0 0 0 0 
1763548839.150167061 698973 61781 0 0 0 180 0 0 0 0 0 0 
1763548839.200164645 546996 49434 0 0 0 180 0 0 0 0 0 0 
1763548839.250164195 290953 23623 0 0 0 179 0 0 0 0 0 0 
1763548839.300152708 987486 45441 0 0 0 180 0 0 0 0 0 0 
1763548839.350152518 663206 58156 0 0 0 180 0 0 0 0 0 0 
