#timestamp package-00 dram0 totalram freeram sharedram bufferram totalswap freeswap procs totalhigh freehigh mem_unit 
1764520805.330779974 47669 8078 99665920000 97827921920 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520805.350099381 820005 153796 99665920000 97826856960 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520805.400104067 2420648 401732 99665920000 97819631616 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520805.450101136 2444330 401671 99665920000 97811890176 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520805.500125468 2460504 401212 99665920000 97804128256 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520805.550108127 2360406 393914 99665920000 97798905856 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520805.600124880 2327570 399146 99665920000 97794285568 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520805.650107445 2319147 402895 99665920000 97790164992 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520805.700104837 2298334 397846 99665920000 97787584512 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520805.750100744 2265070 396775 99665920000 97785520128 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520805.800101641 2258539 398473 99665920000 97783455744 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520805.850100701 2214289 390242 99665920000 97781391360 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520805.900121886 2262689 396836 99665920000 97779843072 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520805.950107919 2281427 396484 99665920000 97777262592 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.000102335 2309199 400478 99665920000 97773133824 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.050103315 2296869 398427 99665920000 97770553344 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.100124660 2281305 396821 99665920000 97767972864 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.150102968 2273371 397968 99665920000 97765908480 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.200112846 2215448 389829 99665920000 97763844096 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.250109017 2259210 399651 99665920000 97762295808 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.300103949 2247492 397922 99665920000 97760747520 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.350099234 2245905 395842 99665920000 97759715328 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.400101620 2233515 397035 99665920000 97758167040 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.450111329 2189692 390211 99665920000 97757134848 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.500122331 2248773 398259 99665920000 97756102656 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.550106129 2239069 398045 99665920000 97755070464 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.600123347 2244745 400738 99665920000 97754554368 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.650099531 2233149 399100 99665920000 97753530368 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.700100004 2238764 398932 99665920000 97752498176 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.750105077 2190851 389707 99665920000 97751982080 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.800123883 2237177 395765 99665920000 97750949888 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.850110186 2236933 397815 99665920000 97749917696 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.900125478 2236200 398764 99665920000 97749401600 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520806.950107798 2240046 397785 99665920000 97748369408 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.000123985 2229120 397830 99665920000 97747337216 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.050103235 2204218 389140 99665920000 97746305024 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.100105779 2233148 399759 99665920000 97745788928 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.150108548 2235468 400294 99665920000 97744756736 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.200103673 2233027 399559 99665920000 97743982592 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.250102328 2230951 398657 99665920000 97743466496 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.300101341 2232416 399514 99665920000 97742434304 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.350106429 2202204 390792 99665920000 97741918208 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.400105646 2224299 400156 99665920000 97741402112 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.450105943 2225824 400218 99665920000 97740886016 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.500102556 2227411 399835 99665920000 97739853824 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.550107711 2220087 399376 99665920000 97739337728 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.600112426 2236506 397631 99665920000 97738821632 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.650108258 2206964 391390 99665920000 97738305536 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.700127600 2231318 397172 99665920000 97737789440 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.750100548 2247980 399239 99665920000 97737273344 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.800103437 2236322 398779 99665920000 97736757248 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.850106585 2256587 400584 99665920000 97736241152 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.900103541 2259637 390716 99665920000 97735725056 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520807.950112600 2243952 396668 99665920000 97735208960 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.000101943 2226008 395230 99665920000 97735208960 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.050105709 2218988 397892 99665920000 97734692864 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.100102476 2229792 398871 99665920000 97734176768 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.150108716 2224359 397585 99665920000 97733660672 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.200124105 2190302 391895 99665920000 97733144576 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.250106320 2230036 398733 99665920000 97732628480 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.300100592 2232416 398917 99665920000 97732112384 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.350102041 2233942 398504 99665920000 97731596288 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.400102962 2222773 398611 99665920000 97731080192 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.450108492 2220697 397585 99665920000 97730564096 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.500111883 2232966 390931 99665920000 97730048000 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.550100437 2250177 399406 99665920000 97729531904 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.600122524 2241022 399866 99665920000 97729015808 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.650106117 2258112 397907 99665920000 97728499712 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.700103782 2236750 397723 99665920000 97727983616 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.750100242 2223139 399560 99665920000 97727467520 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.800123495 2176874 389415 99665920000 97726951424 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.850107686 2218073 398412 99665920000 97726951424 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.900101857 2230951 397907 99665920000 97726435328 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520808.950102415 2223749 396806 99665920000 97725919232 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.000102020 2221430 397234 99665920000 97725403136 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.050107451 2226862 398764 99665920000 97725403136 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.100099924 2184138 388635 99665920000 97724887040 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.150105777 2226007 398366 99665920000 97724370944 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.200121719 2223383 399468 99665920000 97724112896 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.250108484 2219172 398136 99665920000 97723596800 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.300100028 2241266 397234 99665920000 97723080704 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.350107716 2187250 388223 99665920000 97722564608 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.400105464 2221430 398366 99665920000 97722048512 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.450104715 2223261 398687 99665920000 97722048512 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.500121773 2214838 397402 99665920000 97721532416 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.550099363 2220697 399927 99665920000 97721016320 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.600122837 2226374 397678 99665920000 97720500224 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.650114610 2224848 395199 99665920000 97720500224 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.700123380 2178278 396254 99665920000 97719984128 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.750108179 2229181 401686 99665920000 97719468032 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.800122806 2219843 397908 99665920000 97719468032 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.850108548 2217463 398840 99665920000 97718951936 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.900105254 2225458 398320 99665920000 97718435840 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520809.950104219 2221674 397081 99665920000 97718435840 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520810.000105228 2170344 390441 99665920000 97717919744 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520810.050105311 2225763 400018 99665920000 97717919744 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520810.100104364 2218439 399238 99665920000 97717403648 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520810.150110104 2227472 400065 99665920000 97716887552 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520810.200125234 2219477 399376 99665920000 97716629504 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520810.250109877 2196528 391297 99665920000 97716113408 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520810.300125220 2228693 399927 99665920000 97716113408 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520810.350104930 2250177 399850 99665920000 97715597312 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520810.400102531 2221857 399330 99665920000 97715081216 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520810.450110131 2217036 397861 99665920000 97715081216 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520810.500104830 2221796 398672 99665920000 97714049024 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520810.550101045 2183039 392476 99665920000 97714049024 4685824 206868480 3999264768 3965734912 556 0 0 1 
1764520810.600128552 2441644 423336 99665920000 97691250688 4685824 206868480 3999264768 3965734912 559 0 0 1 
1764520810.650111934 2640130 438620 99665920000 97697542144 4685824 206868480 3999264768 3965734912 559 0 0 1 
1764520810.700103144 2440911 405205 99665920000 97713762304 4685824 206868480 3999264768 3965734912 559 0 0 1 
1764520810.750101186 2279474 398688 99665920000 97713246208 4685824 206868480 3999264768 3965734912 559 0 0 1 
1764520810.800129165 2207331 391328 99665920000 97713246208 4685824 206868480 3999264768 3965734912 559 0 0 1 
1764520810.850130536 2250361 399422 99665920000 97712730112 4685824 206868480 3999264768 3965734912 559 0 0 1 
1764520810.900102126 2311456 399636 99665920000 97712214016 4685824 206868480 3999264768 3965734912 559 0 0 1 
