#timestamp package-00 dram0 
1766956436.553872345 0 0 
1766956436.600100833 2099116 358020 
1766956436.700108827 4566822 755040 
1766956436.800102644 4416248 757855 
1766956436.900105596 4338918 761496 
1766956437.000112789 4224110 752347 
1766956437.100102523 4237111 761129 
1766956437.200103243 4294056 762889 
1766956437.300113083 4259327 753999 
1766956437.400111767 4271901 762246 
1766956437.500104996 4204640 750236 
1766956437.600111675 4252003 761144 
1766956437.700103927 4223867 762124 
1766956437.800065397 4316944 772298 
1766956437.900115493 3846426 772130 
1766956438.000105817 4237599 761970 
1766956438.100112146 4143910 754642 
1766956438.200110083 4206227 761940 
1766956438.300103559 4220509 761833 
1766956438.400103474 4161489 755988 
1766956438.500111601 4185536 764495 
1766956438.600108670 4206959 759584 
1766956438.700102959 4145681 752026 
1766956438.800109802 4220265 761435 
1766956438.900120741 4239979 759874 
1766956439.000113334 4166188 749991 
1766956439.100108917 4203175 758926 
1766956439.200111158 4194265 758972 
1766956439.300102422 4167714 753785 
1766956439.400113109 4220448 759920 
1766956439.500110825 4213307 760242 
1766956439.600109568 4169911 755239 
1766956439.700104437 4199818 761588 
1766956439.800111190 4168508 754030 
1766956439.900103148 4212880 761618 
1766956440.000126027 4206715 765016 
1766956440.100057314 4215626 756172 
1766956440.200104036 5398180 802530 
1766956440.300108620 4639697 767250 
1766956440.400110138 4473378 756217 
1766956440.500108043 4397816 763256 
1766956440.600105945 4281422 755422 
1766956440.700103350 4330311 763195 
1766956440.800102847 4352528 763271 
1766956440.900110320 4350269 756126 
1766956441.000104877 4340749 765490 
1766956441.100104650 4299183 757549 
1766956441.200102948 4315480 766728 
1766956441.300112877 4284046 754107 
1766956441.400121445 4329945 762062 
1766956441.500111810 4362111 762552 
1766956441.600128523 4297230 752011 
1766956441.700106612 4403431 766055 
1766956441.800110055 4392994 764434 
1766956441.900105387 4319447 755927 
1766956442.000104863 4342274 760242 
1766956442.100103733 4314137 752867 
1766956442.200106164 4403187 765092 
1766956442.300104157 4197133 751337 
1766956442.400112257 4219716 756967 
1766956442.500141662 4198536 757626 
1766956442.600109136 4158315 749868 
1766956442.700102751 4193165 754152 
1766956442.800110329 4208363 756861 
1766956442.900101529 4159353 747114 
1766956443.000108462 4242359 752974 
1766956443.100103826 4196462 753954 
1766956443.200111621 4147084 747252 
1766956443.300103138 4216359 755315 
1766956443.400108862 4197194 754917 
1766956443.500116459 4171742 749608 
1766956443.600111077 4218129 755560 
1766956443.700109720 4208607 754550 
1766956443.800109653 4165639 747620 
1766956443.900109580 4209889 754703 
1766956444.000105190 4179982 742478 
1766956444.100103756 4223195 751383 
1766956444.200109175 4202992 753556 
1766956444.300108557 4179005 747389 
1766956444.400104550 4216359 755698 
1766956444.500103370 4235097 758972 
1766956444.600110288 4183888 749531 
1766956444.700123214 4232228 755606 
1766956444.800112503 4193287 745676 
1766956444.900110382 4243825 757718 
1766956445.000105641 4232106 754443 
1766956445.100108706 4234791 754228 
1766956445.200111232 4192494 745738 
1766956445.300110470 4227529 755468 
1766956445.400104478 4223439 755651 
