#timestamp package-00 dram0 user nice system idle iowait irq softirq steal guest guest_nice 
1763548127.152561275 0 0 0 0 0 2 0 0 0 0 0 0 
1763548127.200136869 903867 96130 0 0 0 170 0 0 0 0 0 0 
1763548127.250138003 827207 54146 0 0 0 180 0 0 0 0 0 0 
1763548127.300152597 788634 46543 0 0 0 180 0 0 0 0 0 0 
1763548127.350125723 735105 51729 0 0 0 180 0 0 0 0 0 0 
1763548127.400149361 643736 36812 0 0 0 180 0 0 0 0 0 0 
1763548127.450127838 511779 43605 0 0 0 179 0 0 0 0 0 0 
1763548127.500137425 725401 12760 0 0 0 180 0 0 0 0 0 0 
1763548127.550166988 884763 225385 0 0 0 180 0 0 0 0 0 0 
1763548127.600125802 731383 40147 0 0 0 180 0 0 0 0 0 0 
1763548127.650162419 810605 92305 0 0 0 180 0 0 0 0 0 0 
1763548127.700164697 724486 49709 0 0 1 180 0 0 0 0 0 0 
1763548127.750153861 505675 29484 0 0 0 179 0 0 0 0 0 0 
1763548127.800156224 765135 34654 0 0 0 180 0 0 0 0 0 0 
1763548127.850147968 772459 39841 0 0 0 180 0 0 0 0 0 0 
1763548127.900150153 528502 35160 0 0 0 180 0 0 0 0 0 0 
1763548127.950150538 736204 43207 0 0 0 180 0 0 0 0 0 0 
1763548128.000163950 760496 60221 0 0 0 179 0 0 0 0 0 0 
1763548128.050154619 627440 31258 0 0 0 180 0 0 0 0 0 0 
1763548128.100073287 1578609 226011 10 0 4 159 0 0 0 0 0 0 
1763548128.150060227 2057673 383954 7 0 2 173 0 0 0 0 0 0 
1763548128.200057018 2066828 373763 0 0 0 179 0 0 0 0 0 0 
1763548128.250124442 2252253 367919 0 0 0 179 0 0 0 0 0 0 
1763548128.300128040 2147028 373167 0 0 1 179 0 0 0 0 0 0 
1763548128.350124165 1945551 365380 0 0 0 180 0 0 0 0 0 0 
1763548128.400126681 1411923 242474 0 0 0 179 0 0 0 0 0 0 
1763548128.450148737 1566585 238848 0 0 0 179 0 0 0 0 0 0 
1763548128.500124553 1172483 184105 0 0 0 180 0 0 0 0 0 0 
1763548128.550123517 1753657 333678 0 0 0 179 0 0 0 0 0 0 
1763548128.600128729 1256223 218851 0 0 0 179 0 0 0 0 0 0 
1763548128.650122196 1484981 273518 0 0 0 179 0 0 0 0 0 0 
1763548128.700128149 1535885 305419 0 0 0 180 0 0 0 0 0 0 
1763548128.750152621 1313412 218316 0 0 0 179 0 0 0 0 0 0 
1763548128.800126828 1379880 236568 0 0 0 179 0 0 0 0 0 0 
1763548128.850154347 1374264 251899 0 0 0 179 0 0 0 0 0 0 
1763548128.900127200 1310604 192352 0 0 0 179 0 0 0 0 0 0 
1763548128.950150994 1504696 242168 0 0 0 180 0 0 0 0 0 0 
